CHANNEL,DATE TIME,HOUR,EVENT
Rai 1,08-06-2023,00:55,Viva Rai 2! ...e un po' anche Rai 1
Rai 1,08-06-2023,01:50,RaiNews24
Rai 1,08-06-2023,02:23,Che tempo fa
Rai 1,08-06-2023,02:25,Overland 19 - Le Indie di Overland - Delhi: l'India in una città
Rai 1,08-06-2023,03:15,RaiNews24
Rai 1,08-06-2023,06:28,Previsioni sulla viabilità CCISS Viaggiare informati
Rai 1,08-06-2023,06:30,TG1
Rai 1,08-06-2023,06:35,Rassegna stampa
Rai 1,08-06-2023,06:58,Tgunomattina
Rai 1,08-06-2023,07:00,TG1
Rai 1,08-06-2023,07:28,Che tempo fa
Rai 1,08-06-2023,07:30,Tgunomattina
Rai 1,08-06-2023,08:00,TG1
Rai 1,08-06-2023,08:30,Che tempo fa
Rai 1,08-06-2023,08:32,Tgunomattina
Rai 1,08-06-2023,08:55,Rai Parlamento Telegiornale
Rai 1,08-06-2023,09:00,TG 1 L.I.S.
Rai 1,08-06-2023,09:05,UnoMattina
Rai 1,08-06-2023,09:50,Storie italiane
Rai 1,08-06-2023,11:55,E' sempre mezzogiorno
Rai 1,08-06-2023,13:30,TELEGIORNALE
Rai 1,08-06-2023,14:05,Oggi è un altro giorno - Puntata del 08/06/2023
Rai 1,08-06-2023,16:05,Sei Sorelle - S1E87 - Episodio 87
Rai 1,08-06-2023,16:55,TG 1
Rai 1,08-06-2023,17:02,Che tempo fa
Rai 1,08-06-2023,17:05,La Vita in Diretta
Rai 1,08-06-2023,18:45,L'Eredità - Puntata del 08/06/2023
Rai 1,08-06-2023,20:00,TELEGIORNALE
Rai 1,08-06-2023,20:30,Cinque Minuti - Puntata del 08/06/2023
Rai 1,08-06-2023,20:35,Techetechetè
Rai 1,08-06-2023,21:30,Gigi Uno come te 30 anni insieme
Rai 1,08-06-2023,23:55,Porta a Porta
